,Resort,Week,Year,Rating
668,Thredbo,week3,2023,4.333333333333333
669,Thredbo,week3,2024,5.0
670,Thredbo,week3,2025,5.0
671,Thredbo,week4,2019,4.517241379310345
672,Thredbo,week4,2020,4.714285714285714
673,Thredbo,week4,2021,3.1666666666666665
674,Thredbo,week4,2022,4.2
675,Thredbo,week4,2023,4.333333333333333
676,Thredbo,week4,2024,4.625
677,Thredbo,week4,2025,4.523809523809524
678,Thredbo,week5,2019,4.392857142857143
679,Thredbo,week5,2020,4.230769230769231
680,Thredbo,week5,2021,4.75
681,Thredbo,week5,2022,4.473684210526316
682,Thredbo,week5,2023,4.416666666666667
683,Thredbo,week5,2024,4.090909090909091
684,Thredbo,week5,2025,4.066666666666666
685,Thredbo,week6,2019,4.5675675675675675
686,Thredbo,week6,2020,4.666666666666667
687,Thredbo,week6,2021,4.181818181818182
688,Thredbo,week6,2022,4.363636363636363
689,Thredbo,week6,2023,4.32
690,Thredbo,week6,2024,4.541666666666667
691,Thredbo,week6,2025,4.166666666666667
692,Thredbo,week7,2019,4.542857142857143
693,Thredbo,week7,2020,4.24
694,Thredbo,week7,2021,5.0
695,Thredbo,week7,2022,4.4
696,Thredbo,week7,2023,4.6
697,Thredbo,week7,2024,4.523809523809524
698,Thredbo,week7,2025,4.28
699,Thredbo,week8,2019,4.3076923076923075
700,Thredbo,week8,2020,4.041666666666667
701,Thredbo,week8,2021,4.0
702,Thredbo,week8,2022,4.7727272727272725
703,Thredbo,week8,2023,4.428571428571429
704,Thredbo,week8,2024,4.5
705,Thredbo,week8,2025,4.4
706,Thredbo,week9,2019,4.410256410256411
707,Thredbo,week9,2020,4.5
708,Thredbo,week9,2021,3.8
709,Thredbo,week9,2022,4.6923076923076925
710,Thredbo,week9,2023,4.625
711,Thredbo,week9,2024,4.6
712,Thredbo,week9,2025,4.0
