,Mt Baw Baw,Mt. Stirling,Mt. Hotham,Falls Creek,Mt. Buller,Selwyn,Thredbo,Perisher,Charlotte Pass
Price (AUD),302,186,942,942,573,733,819,1029,927
Distance to CBD (km),177,237,376,386,232,537,548,605,616
